"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","duration"
192,"bf.s2",0,0,0,0,0,0,-1,32.43
192,"ours1.s1",6,11.87,11.89,9.14,4.42,43.32,-1,27.9
192,"ours1.s2",0,0.01,0.11,0.44,0.32,0.87,-1,28.69
192,"ours2.s1",6.1,11.9,11.92,9.21,4.46,43.59,-1,27.94
192,"ours2.s2",0,0,0.11,0.58,0.44,1.14,-1,28.91
192,"titeet",3.8,7.4,5.9,4.1,1.8,23,-1,17.73
192,"bfet",4.37,10.97,12.5,11.23,5.81,44.87,-1,34.1
152,"ours0.s1",6.05,11.65,11.59,8.82,4.46,42.57,-1,30.44
152,"ours0.s2",0,0.01,0.14,0.5,0.33,0.98,-1,31.34
152,"bf.s1",4.86,11.17,11.93,9.09,4.34,41.39,-1,30.45
152,"bf.s2",0,0,0,0,0,0,-1,30.45
152,"ours1.s1",5.59,10.28,9.93,7.86,4.5,38.17,-1,19.36
152,"ours1.s2",0.09,0.72,0.92,0.86,0.36,2.95,-1,22.07
152,"ours2.s1",5.54,10.25,9.84,7.91,4.52,38.06,-1,19.31
152,"ours2.s2",0.15,0.9,1.1,1.04,0.44,3.63,-1,22.4
152,"titeet",3.7,7.4,6,4.2,1.8,23.1,-1,16.43
152,"bfet",4.02,10.22,11.41,9.72,6.08,41.44,-1,20.4
176,"ours0.s1",6.05,11.65,11.59,8.82,4.46,42.57,-1,30.44
176,"ours0.s2",0,0.01,0.14,0.5,0.33,0.98,-1,31.34
176,"bf.s1",4.86,11.17,11.93,9.09,4.34,41.39,-1,30.45
176,"bf.s2",0,0,0,0,0,0,-1,30.45
176,"ours1.s1",5.59,10.28,9.93,7.86,4.5,38.17,-1,19.36
176,"ours1.s2",0.09,0.72,0.92,0.86,0.36,2.95,-1,22.07
176,"ours2.s1",5.54,10.25,9.84,7.91,4.52,38.06,-1,19.31
176,"ours2.s2",0.15,0.9,1.1,1.04,0.44,3.63,-1,22.4
176,"titeet",3.7,7.4,6,4.2,1.8,23.1,-1,16.43
176,"bfet",4.02,10.22,11.41,9.72,6.08,41.44,-1,20.4
216,"ours0.s1",6,11.96,11.98,9.46,4.35,43.75,-1,32.69
216,"ours0.s2",0,0,0.09,0.42,0.32,0.82,-1,33.43
216,"bf.s1",4.88,11.58,12.37,9.59,4.16,42.59,-1,32.43
216,"bf.s2",0,0,0,0,0,0,-1,32.43
216,"ours1.s1",6,11.87,11.89,9.14,4.42,43.32,-1,27.9
216,"ours1.s2",0,0.01,0.11,0.44,0.32,0.87,-1,28.69
216,"ours2.s1",6.1,11.9,11.92,9.21,4.46,43.59,-1,27.94
216,"ours2.s2",0,0,0.11,0.58,0.44,1.14,-1,28.91
216,"titeet",3.8,7.4,5.9,4.1,1.8,23,-1,17.73
216,"bfet",4.37,10.97,12.5,11.23,5.81,44.87,-1,34.1
200,"ours0.s1",6.05,11.65,11.59,8.82,4.46,42.57,-1,30.44
